message_id,message_text,label,channel,scam_type,urgency,contains_url,contains_phone_number,asks_for_money,asks_for_pin_password,requests_personal_information,claims_authority,emotional_trigger,language,source
MSG00001,"Broni, Dear Josephine, your University of Professional Studies, Accra semester registration has been confirmed. You can now access your course materials online.",legitimate,Email,school,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00002,Telecel Cash: Enjoy 15% bonus data this weekend by dialing *138#.,legitimate,SMS,promotion,No,No,No,No,No,No,No,none,English,synthetic
MSG00003,Stanbic Bank Ghana Alert: Your token/PIN has expired. Renew it now at http://nia-cardverify62.net to continue enjoying uninterrupted banking services. Chale!,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00004,"Sister, AirtelTigo Money: We value your feedback. Please rate your recent visit to our branch by dialing our short code.",legitimate,Email,customer_service,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00005,"Sister, AirtelTigo Money: Your loyalty points can now be redeemed for airtime and data. Dial *138# to check your balance.",legitimate,Email,promotion,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00006,"Broni, Telecel Cash SECURITY ALERT: Unusual activity detected on ur account. Verify your PIN immediately at http://ecobank-gh-verify.net or your account will be suspended.",phishing,SMS,account_verification,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00007,"Dear Rebecca Amoah, Ghana Immigration Service records show your Ghana Card requires re-verification. Update your details at http://fidelity-gh-alert.com within 7 days to avoid deactivation. Ei!",phishing,SMS,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00008,MTN MoMo: You have received GH₵7911 from Rebecca. New balance GH₵14532. Transaction ID MF2SSE4ECG.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00009,AirtelTigo Money: Payment of GH₵750 to ECG was successful. Balance GH₵15750.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00010,MTN MoMo: Your loyalty points can now be redeemed for airtime and data. Dial *170# to check your balance. Wai!,legitimate,Email,promotion,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00011,AirtelTigo Money: Cash-out of GH₵327 at agent 7KGZ was successful. New balance GH₵915.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00012,This is University of Cape Coast Finance Office. Your semester fees payment did not reflect. Kindly confirm your transaction at https://scholarship-gh-fund52.com to avoid deregistration. Ei!,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00013,"Broni, Notice: Your line qualifies for a cash reward of GH₵2000 from our loyalty draw. Claim link: https://momo-bonus-claim88.net. Offer closes today.",phishing,SMS,fake_prize,Yes,Yes,No,No,No,No,Yes,greed,mixed English-Twi,synthetic
MSG00014,"Please I beg you Abena, I wrongly sent GH₵443 to your line. I need it back urgently, my child is on admission. Send to 0268687937.",phishing,SMS,wrong_send,Yes,No,Yes,Yes,No,No,No,sympathy,English,synthetic
MSG00015,Telecel Cash: Cash-out of GH₵3446 at agent R854 was successful. New balance GH₵5446. Broni!,legitimate,Email,transaction,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00016,"Dear Josephine Boateng, the GETFund Scholarship Secretariat requires a one-time administrative fee of GH₵127 via https://secure-gh-alert.com before releasing your scholarship funds.",phishing,Email,impersonation,Yes,Yes,No,Yes,No,Yes,Yes,greed,English,synthetic
MSG00017,Attention staff: Tullow Oil Ghana is migrating to a new payroll system. Click http://gh-bankverify6.net and enter your MoMo PIN to avoid delay in salary payment. Abi!,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00018,"Ɛyɛ, attention customer, ur AirtelTigo Money account go dey suspend today if u no verify ur PIN for http://gh-bankverify33.net now now",phishing,Email,account_verification,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00019,Congratulations Eric! Ur number has been selected as a winnr of GH₵700 in the MTN MoMo promo. Caim now at https://secure-gh-alert54.com Yoo!,phishing,Email,fake_prize,Yes,Yes,No,No,No,No,Yes,greed,mixed English-Twi,synthetic
MSG00020,Notice from KNUST: Your exams results will be withheld unless outstanding fees are confirmed at https://telecel-bonus-gh.com within 48 hours.,phishing,Email,impersonation,Yes,Yes,No,Yes,Yes,Yes,Yes,fear,English,synthetic
MSG00021,"Broni, University of Ghana Student Portal: Your registration will be cancelled unless you verify your student ID and MoMo details at https://nia-cardverify98.net today.",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00022,"Dear Naa Dedei, your University of Ghana semester registration has been confirmed. You can now access your course materials online.",legitimate,Email,school,No,No,No,No,No,No,No,none,English,synthetic
MSG00023,AirtelTigo Money: You have successfully sent GH₵1674 to 0269479025. New balance GH₵6265. Ref: TTE9LQTY5X.,legitimate,SMS,transaction,No,No,Yes,No,No,No,No,none,English,synthetic
MSG00024,MTN Ghana Foundation Bursary Notice: Your scholarship application is successful. Verify your bank/MoMo details at http://secure-gh-alert.com to receive your first tranche.,phishing,Email,impersonation,Yes,Yes,No,No,No,Yes,Yes,greed,English,synthetic
MSG00025,"Hi Akua, your parcel from Speedaf Express is ready for pickup at the local office, tracking RYWQ8NC2T.",legitimate,Email,delivery,No,No,No,No,No,No,No,none,English,synthetic
MSG00026,Your Jumia Logistics shipment X3L7JB3BF requires an import duty payment of GH₵5262. Settle now at https://airteltigo-claim4.net to avoid return to sender.,phishing,Email,delivery,Yes,Yes,No,Yes,No,Yes,Yes,curiosity,English,synthetic
MSG00027,"This is MTN Ghana HR Department Human Resources. As part of our new staff verification exercise, please confrim ur bank/MoMo PIN at https://telecel-bonus-gh.com by Friday. Yoo!",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00028,MTN MoMo: Refer a friend and both of you get GH₵5 airtime free. Dial *124# for details.,legitimate,SMS,promotion,No,No,No,No,No,No,No,none,English,synthetic
MSG00029,"Medaase, Dear Solomon Appiah, HR at MTN Ghana HR Department requires you to update your salary account details at http://ghpost-track.net b4 end of month payroll processing.",phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,mixed English-Twi,synthetic
MSG00030,U HAVE BEEN SHORTLISTED BY DE MTN GHANA FONDATION BURSARY FOR A FULLY FUNDED SCHOLARSHIP. COMPLETE VERIFICATION AT HTTP://AIRTELTIGO-CLAIM50.NET WITHIN 3 DAYS TO AVOID FORFEITURE!!,phishing,SMS,impersonation,Yes,No,No,No,No,Yes,Yes,greed,English,synthetic
MSG00031,Your FedEx Ghna shipment 432CNXQ8Y requires an import duty payment of GH₵5813. Settle now at htps://ecobank-gh-verify.net to avoid return to sender. Chrley!,phishing,Email,delivery,Yes,No,No,Yes,No,Yes,Yes,curiosity,mixed English-Twi,synthetic
MSG00032,Absa Bank Ghana Alert: Your token/PIN has expired. Renw it now at http://secure-gh-alert.com to continue enjoying uninterrupted banking services.,phishing,SMS,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00033,"Hi Kofi, your parcel from FedEx Ghana is ready for pickup at the local office, tracking LBZ59RPNK. Yoo!",legitimate,Email,delivery,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00034,Zenith Bank Ghana: Your statement request has been processed and sent to your registered email address. Yoo!,legitimate,SMS,customer_service,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00035,"Dear Yaa Sarpong, University of Professional Studies, Accra Admissions Office requires you to pay a processing fee of GH₵330 via https://ghpost-track.net to secure your admission slot.",phishing,Email,impersonation,Yes,Yes,No,Yes,Yes,Yes,Yes,fear,English,synthetic
MSG00036,Notice: Ur line qualifies for a cash reward of GH₵15000 from our loyalty draw. Claim link: http://scholarship-gh-fund.com. Offer closes today!!,phishing,Email,fake_prize,Yes,Yes,No,No,No,No,Yes,greed,English,synthetic
MSG00037,"AirtelTigo Moni: I sent GH₵1462 to your walet by mistake, it was meant for my brother. Please send it back to 0287243992 now.",phishing,SMS,wrong_send,Yes,No,Yes,Yes,No,No,No,sympathy,English,synthetic
MSG00038,Republic Bank Ghana: We value your feedback. Please rate your recent visit to our branch by dialing our short code.,legitimate,Email,customer_service,No,No,No,No,No,No,No,none,English,synthetic
MSG00039,Absa Bank Ghana: Your salary of GH₵910.00 has been credited to your account. Available balance GH₵1160.00. Abi!,legitimate,Email,banking,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00040,MTN MoMo: Your loyalty points can now be redeemed for airtime and data. Dial *124# to check your balance.,legitimate,Email,promotion,No,No,No,No,No,No,No,none,English,synthetic
MSG00041,Ghana Scholarships Secretariat Notice: Your scholarship application is successful. Verify your bank/MoMo details at https://momo-refund-gh.com to receive your first tranche.,phishing,SMS,impersonation,Yes,Yes,No,No,No,Yes,Yes,greed,English,synthetic
MSG00042,"Ei, Dear Kwadwo Asante, your FedEx Ghana parcel YT3FZ37RQ is held at customs. Pay a clearance fee of GH₵327 at https://fidelity-gh-alert25.com to release it.",phishing,SMS,delivery,Yes,Yes,No,Yes,No,Yes,Yes,curiosity,mixed English-Twi,synthetic
MSG00043,"Sister, Telecel Cash PROMO WINNER: You have won GH₵20000 cash prize! Visit http://ghpost-track.net to claim before it expires, reference A7GEPSJY.",phishing,Email,fake_prize,Yes,Yes,No,No,No,No,Yes,greed,mixed English-Twi,synthetic
MSG00044,Telecel Cash: Payment of GH₵8812 to Shoprite was successful. Balance GH₵17682. Ɛyɛ!,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00045,CalBank: Your account has been credited with GH₵678.00. Available balance GH₵1178.00. For enquiries call our customer care.,legitimate,SMS,banking,No,No,No,No,No,No,No,none,English,synthetic
MSG00046,MTN MoMo: Cash-out of GH₵2896 at agent X8CP was successful. New balance GH₵7309.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00047,"Dear Kwadwo, thank you for your application. We would like to invite you for an interview at Melcom Group next week.",legitimate,Email,work,No,No,No,No,No,No,No,none,English,synthetic
MSG00048,"Hi Yaw, your parcel from FedEx Ghana is ready for pickup at the local office, tracking XBDE2DTFU.",legitimate,Email,delivery,No,No,No,No,No,No,No,none,English,synthetic
MSG00049,"Dear Michael, thank you for your application. We would like to invite you for an interview at Vodafone Ghana next week.",legitimate,Email,work,No,No,No,No,No,No,No,none,English,synthetic
MSG00050,"Dear Godfred, this is a reminder that your project report is due on Friday. Please submit it via the online portal. Medaase!",legitimate,Email,school,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00051,Ghana Water Company Limited: Please note a scheduled water supply interruption in your area tomorrow from 6am to 6pm for maintenance. Sister!,legitimate,SMS,utilities,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00052,GT Bank Ghana: Your salary of GH₵651.00 has been credited to your account. Available balance GH₵1255.00. Medaase!,legitimate,SMS,banking,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00053,MTN MoMo: Our new data bundle plans are now live. Dial *110# to subscribe and save more.,legitimate,SMS,promotion,No,No,No,No,No,No,No,none,English,synthetic
MSG00054,MTN MoMo: Airtime purchase of GH₵5 was successful. Enjoy your data/airtime.,legitimate,SMS,transaction,No,No,No,No,No,No,No,none,English,synthetic
MSG00055,Fidelity Bank Ghana: Your salary of GH₵992.00 has been credited to your account. Available balance GH₵7985.00. Broni!,legitimate,SMS,banking,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
MSG00056,Notice from GCB Bank: Your ATM card will be blocked due to non-compliance with our new digital policy. Update your card PIN at https://dhl-gh-delivery36.com before Friday.,phishing,Email,impersonation,Yes,Yes,No,No,Yes,Yes,Yes,fear,English,synthetic
MSG00057,"Chale, GT Bank Ghana: Our offices will be closed on the upcoming public holiday. Normal service resumes the next working day.",legitimate,SMS,customer_service,No,No,No,No,No,No,No,none,mixed English-Twi,synthetic
